,문장,활동,숙소,맛집,날씨,카페,인사,관광지추천,소개
28,제주도 실외활동 추천,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,제주도 야외활동,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
945,서귀포 맛집은 말해줘?,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2336,야 여행 정보를 얻고 싶어,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1829,도넛를 파는 카페 있니?,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3058,차가 많이 없는 관광지 추천,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2146,하이 제주도 정보 얻고 싶어,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2768,어 제주도 가는 방법 소개해줘,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1917,차가 다양한 카페 알려주세요.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1916,차 파는 카페는 어디에 있을까?,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1707,어린이 메뉴가 준비된 카페 추천해줘.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1432,음 안주 맛있는 맛집 추천해줘,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3259,사람들 반응이 좋은 관광지 추천해주라,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1268,오늘 영업하는 맛집 추천 부탁,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
165,챗봇 제주도 후기좋은 활동 추천해줘,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2461,제주도의 면적 말해줘,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1856,마들렌를 파는 카페 있니?,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
321,있잖아 서귀포시 3시에 활동 추천해줘,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2998,그 제주도에 있는 대학교 소개해줘,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1394,어 20년 이상된 맛집 추천해줘,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2749,제주도 사람 안 사는 섬 갯수 알려줘,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1344,국물 있는 메뉴 맛집 부탁하겠구먼,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3037,애기들도 갈 수 있는 관광지 추천,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1589,베이커리 카페 알려줘.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1452,제주도에서 인기 많은 카페 알려줘.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2957,제주도 기념품 말해줘,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2997,챗봇 제주도에 있는 대학교 소개해줘,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2297,저기요 정보 얻고 싶어요,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1882,빵 파는 카페 알려주세요.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2471,삼다수의 수원지를 말해줘,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2088,안녕 챗봇,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2409,계획 세우는거 도와줘,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1028,야 서쪽 맛집 추천해줘,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
6,제주도 놀 것 뭐있어,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
331,서귀포시 6시에 활동 뭐있지,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1415,아 연인이랑 가기 좋은 맛집 추천해줘,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2739,제주도에 사는 개그맨 알려줘,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2943,제주도 섬 알려줘,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
490,제주도 당일예약가능한 숙소추천,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3102,걸어서 갈 수 있는 관광지 추천해주라,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1041,아 동부 맛집 추천좀,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3,제주도 놀 것 알려줘,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
366,그 서귀포시 근처 활동 추천해줘,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1685,아기의자 구비된 카페 추천해줘.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2907,야 챗봇 제주도 특산물 소개해줘,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2298,저기요 정보 좀 얻고 싶어요,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2338,야 챗봇,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1195,야 가까운 맛집 추천해줘,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1073,어 흑돼지 구이 맛집 추천해줘,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1687,아쿠아플라넷 제주 근처 카페 있나요?,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2168,하잉 정보 좀 줘,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
675,제주 특별한 날에 갈 숙소 알려주라.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3038,방송에 나온 관광지 추천,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
224,서귀포시 야외활동 알려줘봐,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1342,국물 있는 메뉴 맛집 부탁한데이,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2875,음 제주도에서 낚시하는 곳 소개해줘,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2567,음 제주시 쪽 시장 알려줘,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2609,제주도에 사는 연예인 말해줘,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1732,제주도 카페 어디가 알려줄 수 있니?,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1149,분위기 있는 맛집 부탁한데이,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
857,중문 저렴한 숙소 알려주라.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1789,카멜리아힐 근처에 카페가 알려주세요.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1903,에스프레소 파는 카페 알려줘.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
205,서귀포시 놀 것 추천,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2423,안녕 나 좀 도와줄래?,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2065,휠체어 가능한 카페 흠 알려줘,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
586,공항근처 서귀포 숙소 추천,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1993,새로 생긴 카페는 아 어디에 있나요?,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
126,제주도 6시에 활동 알려줘,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2306,저기,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2179,하이루 제주도 관광 챗봇아,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1810,포장 가능한 카페 알려줘.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2720,어 제주도 무인도 갯수 알려줘,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3122,경치가 이쁜 관광지 추천 해줄래?,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1776,주차장이 넓은 카페 알려줘.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2292,저기요 제주도 정보 얻고 싶어요,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
874,보름왓 맛집 추천해줘,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
453,제주 60만원대 숙소 추천해줘.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3319,공항 근처 관광지 추천 해줄래?,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1475,공항 근처 카페 좀 알려줘.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2043,공항 근처 카페 좀 음 알려줘.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
110,제주도 3시에 활동 말해줘,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1281,내일 영업하는 맛집 말해줘,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3086,대정읍 근처 관광지 추천,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
318,음 서귀포시 3시에 활동 추천해줘,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1823,도넛 카페 알려주세요.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1333,해장국 맛집 부탁혀,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2019,뷰가 멋진 어 카페 알려주세요.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
262,챗봇 서귀포시 재미있는거 추천해줘,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
